time_sec,timestamp,volatility_5,z_time,z_vol,state_id,state_name,prob_flow,prob_base,prob_tilt
16.88,2025-10-25 20:57:25,1.9962915618716615,-0.5184684681934882,-0.7257480059659114,1,Baseline,2.4421379162830882e-05,0.9999755786210532,7.565705939967059e-71
17.3,2025-10-25 20:58:08,2.3247537504002427,-0.38201355757309163,-0.4284293797128032,0,Flow,0.9999242662791736,2.9707906708801867e-05,4.602581391402588e-05
13.93,2025-10-25 20:58:49,2.904646277948485,-1.476901768979603,0.09647989656477221,2,Tilt,7.802682251665132e-05,0.4102337049707784,0.5896882682067512
22.5,2025-10-25 20:59:34,3.332676101873687,1.3074281929651446,0.4839255255879957,2,Tilt,0.41809431802795516,0.00034486809873661634,0.5815608138735179
18.13,2025-10-25 21:00:38,3.0926800675142574,-0.11235266277564292,0.26668502201103567,2,Tilt,0.030582846297534064,0.3196885139350504,0.6497286397672433
16.71,2025-10-25 21:01:17,3.105516060174217,-0.5737002177303145,0.27830395361881205,2,Tilt,0.36611330747381615,0.013425326762522626,0.6204613657636966
21.99,2025-10-25 21:02:22,3.6156078327163734,1.141732944354663,0.7400307227018542,2,Tilt,0.023496878909664575,0.21864435456754452,0.7578587665228042
18.69,2025-10-25 21:03:15,2.523049741879854,0.0695872180515525,-0.2489350761452379,0,Flow,0.9131051629532,0.04279029393996361,0.04410454310697692
18.07,2025-10-25 21:05:49,1.9687864282344054,-0.13184622143569907,-0.7506452051977965,1,Baseline,0.07253628597199405,0.9219354468101248,0.005528267217687692
15.6,2025-10-25 21:07:23,2.429016261781708,-0.9343310529413615,-0.33405265162576203,0,Flow,0.9269836291828243,0.07224495504677024,0.0007714157702285961
18.15,2025-10-25 21:09:15,2.2876625625297073,-0.10585480988895753,-0.4620037191920761,1,Baseline,0.07267828276223007,0.9242432854447421,0.0030784317931471955
20.17,2025-10-25 21:10:03,1.6492361868452887,0.5504283316662815,-1.0398968819715269,0,Flow,0.9262798845057224,0.06912419271368234,0.00459592278041549
12.85,2025-10-25 21:11:08,2.8148570123542664,-1.8277858248606211,0.015204114964645606,1,Baseline,0.06914675027763319,0.6022490383789724,0.32860421134327966
19.23,2025-10-25 21:11:54,2.9718176256291344,0.24502924599206138,0.15728230705057683,0,Flow,0.6165503736482709,0.001120831186979823,0.3823287951646964
23.41,2025-10-25 21:13:03,3.844856304206959,1.603080499309336,0.9475427073218882,2,Tilt,0.001135246962579961,7.66251496667195e-06,0.9988570905223275
13.69,2025-10-25 21:13:45,4.486201065489596,-1.5548760036198293,1.5280775452385178,2,Tilt,3.5024499530673555e-05,1.994367427604489e-08,0.9999649555567685
16.81,2025-10-25 21:14:18,4.303477663471717,-0.5412109532968876,1.362679296156575,2,Tilt,0.0002045083434262782,8.101264501987395e-09,0.9997954835550982
28.88,2025-10-25 21:14:56,5.921391728301718,3.3802432638178264,2.827188770765342,2,Tilt,4.4989112442626056e-12,6.389107124090991e-17,0.9999999999954525
20.86,2025-10-25 21:15:48,5.88535895251938,0.7746042562569313,2.794572488679165,2,Tilt,6.425203154967123e-09,4.664029826916286e-14,0.9999999935748747
17.46,2025-10-25 21:16:31,5.809040368253607,-0.3300307344796074,2.7254901485378817,2,Tilt,2.029231551117778e-08,2.327963615032859e-13,0.9999999797073544
18.81,2025-10-25 21:17:10,4.900186731135867,0.10857433537166483,1.902810630802543,2,Tilt,7.641182402596526e-06,2.046762641842564e-09,0.9999923567707959
18.74,2025-10-25 21:53:12,4.597194796829912,0.0858318502682654,1.6285472640595557,2,Tilt,0.0002615855025243714,5.268578587479456e-05,0.9996857287117608
20.29,2025-10-25 21:53:50,1.3536875562699178,0.5894154489863938,-1.307422691341851,0,Flow,0.975918865022028,0.016200987504112457,0.007880147473781124
18.91,2025-10-25 21:54:28,1.0028309927400638,0.14106359980509292,-1.6250123413039665,1,Baseline,0.020983699860173028,0.9780311667984015,0.0009851333415254186
17.91,2025-10-25 21:55:07,0.857449706979962,-0.1838290445291833,-1.7566091146151899,0,Flow,0.9790041304650928,0.02097291555984384,2.2953974870222873e-05
22.03,2025-10-25 21:55:46,1.6163168006303792,1.154728650128035,-1.069694974501927,1,Baseline,0.020994885139461485,0.9769787551514392,0.002026359709319767
17.53,2025-10-25 21:56:35,1.8469109345065946,-0.30728824937620797,-0.8609649181955041,0,Flow,0.9789545264085154,0.02099048124514355,5.4992346372426785e-05
20.24,2025-10-25 21:57:17,1.8405651306052777,0.5731708167696797,-0.866709036588136,1,Baseline,0.02102928850534493,0.977610659841755,0.0013600516527414678
21.27,2025-10-25 21:58:01,2.0032673311368163,0.9078102404339846,-0.7194336531806925,0,Flow,0.9789179702928787,0.020948991195965924,0.0001330385113049413
19.62,2025-10-25 21:58:47,1.727822328828987,0.3717373772824293,-0.9687619854959415,1,Baseline,0.021032313670534163,0.9780045274226123,0.0009631589069147202
18.22,2025-10-25 21:59:23,1.5114000132327712,-0.08311232478555809,-1.1646639425882854,0,Flow,0.9789531545431992,0.021019716526402187,2.7128930392745758e-05
17.26,2025-10-25 22:00:04,1.5962831828970765,-0.3950092633464624,-1.087829079161061,1,Baseline,0.021044727768764815,0.9783457887933052,0.0006094834380151703
17.72,2025-10-25 22:00:37,1.631416562377624,-0.24555864695269622,-1.0560269159666311,0,Flow,0.97894693524941,0.02102599164335286,2.7073107105321997e-05
19.18,2025-10-25 22:01:16,0.9863062404750492,0.22878461377534734,-1.639970278059538,1,Baseline,0.021051518132064437,0.9784353958831972,0.0005130859845928939
