No.;Time;Comment;Scramble;Date;P.1
47;18.78;;D L2 D2 U' F2 R2 B2 U' L2 D' R2 F2 B U2 B L' R' B' L F L';2025-10-25 22:07:06;18.78
48;22.52;;B L2 F' L' B U' L F' R' B L2 D2 B' D2 F' D2 R2 F' R2 F L2;2025-10-25 22:07:55;22.52
49;20.75;;B' F2 L' D2 B2 R' F2 R U2 L' R2 U2 B D2 U' B' D' R2 B2 R F';2025-10-25 22:08:47;20.75
50;21.39;;B2 R2 F' L2 D2 B U2 F2 D2 F2 R2 U2 D R' B F2 D B2 R' F L2;2025-10-25 22:09:27;21.39
51;19.40;;B R U R B2 U2 F L' B' U2 R2 D2 R2 D' R2 U' R2 D2 F2 B2;2025-10-25 22:10:08;19.40
52;16.08;;F R2 F2 L2 B2 U R2 B2 D B2 L2 U2 L' B' D' L' B2 R2 U2 F' L;2025-10-25 22:10:45;16.08
53;22.99;;F2 L2 D R2 D2 U' R2 F2 D R2 B2 U L D B R D2 F L2;2025-10-25 22:11:19;22.99
54;18.66;;B2 D' L2 D F2 R2 U F2 U2 B2 L2 D2 R D2 B' L2 F' D L B L;2025-10-25 22:11:58;18.66
55;16.22;;B' R B L F R U2 R' D' F' L2 D2 B D2 B' D2 B D2 L2 B' R2;2025-10-25 22:12:36;16.22
56;18.48;;F' R' F D2 L2 B2 L2 U R2 D2 R2 U F2 U' R' F2 L F L D B;2025-10-25 22:13:13;18.48
57;18.35;;R' B L2 D2 B' L2 R2 F L2 D2 F2 L U' F2 U R2 F' D' L B';2025-10-25 22:13:52;18.35
58;17.94;;R2 D2 B' U' L2 B2 U2 R2 D R2 D' F2 R2 L' D' B' R' F D2 R';2025-10-25 22:14:32;17.94
59;15.30;;U' R' D2 L' F2 D2 U2 L U2 F2 L B2 L2 D' B2 D' F L' R' F';2025-10-25 22:15:11;15.30
60;15.63;;U2 F R2 B2 U2 F2 U2 L2 U2 F' U2 R2 U F R2 D' R' U' B;2025-10-25 22:15:43;15.63
61;20.26;;B' F2 D L2 R2 U2 R2 D' F2 L2 U F2 D L' B' F R F' L D2 U';2025-10-25 22:16:16;20.26
62;15.21;;B D L U2 B2 U F D' L' R2 U2 R2 U' R2 F2 L2 B2 U F2 D;2025-10-25 22:16:56;15.21
63;18.45;;F' L U2 F2 L2 B2 U R2 F2 U2 B2 U F2 U' L' B U2 B R' U L2;2025-10-25 22:17:31;18.45
64;18.61;;F2 R2 B2 L2 F2 D2 F2 U L2 F2 U' R' F2 D' B L' R2 F L' D' B';2025-10-25 22:20:34;18.61
